software	year	n_articles
SCENIC	2000	2
SCENIC	2001	0
SCENIC	2002	2
SCENIC	2003	1
SCENIC	2004	4
SCENIC	2005	1
SCENIC	2006	11
SCENIC	2007	7
SCENIC	2008	9
SCENIC	2009	15
SCENIC	2010	19
SCENIC	2011	27
SCENIC	2012	48
SCENIC	2013	60
SCENIC	2014	103
SCENIC	2015	88
SCENIC	2016	106
SCENIC	2017	128
SCENIC	2018	190
SCENIC	2019	311
SCENIC	2020	462
SCENIC	2021	809
SCENIC	2022	1425
SCENIC	2023	1387
SCENIC	2024	1556
SCENIC	2025	1722
scFoundation	2000	0
scFoundation	2001	0
scFoundation	2002	0
scFoundation	2003	0
scFoundation	2004	0
scFoundation	2005	0
scFoundation	2006	0
scFoundation	2007	0
scFoundation	2008	0
scFoundation	2009	0
scFoundation	2010	0
scFoundation	2011	0
scFoundation	2012	0
scFoundation	2013	0
scFoundation	2014	0
scFoundation	2015	0
scFoundation	2016	0
scFoundation	2017	0
scFoundation	2018	0
scFoundation	2019	0
scFoundation	2020	0
scFoundation	2021	0
scFoundation	2022	0
scFoundation	2023	0
scFoundation	2024	17
scFoundation	2025	62
scGPT	2000	0
scGPT	2001	0
scGPT	2002	0
scGPT	2003	0
scGPT	2004	0
scGPT	2005	0
scGPT	2006	0
scGPT	2007	0
scGPT	2008	0
scGPT	2009	0
scGPT	2010	0
scGPT	2011	0
scGPT	2012	0
scGPT	2013	0
scGPT	2014	0
scGPT	2015	0
scGPT	2016	0
scGPT	2017	0
scGPT	2018	0
scGPT	2019	0
scGPT	2020	0
scGPT	2021	0
scGPT	2022	0
scGPT	2023	5
scGPT	2024	81
scGPT	2025	184
SCTransform	2000	0
SCTransform	2001	0
SCTransform	2002	0
SCTransform	2003	0
SCTransform	2004	0
SCTransform	2005	0
SCTransform	2006	0
SCTransform	2007	0
SCTransform	2008	0
SCTransform	2009	0
SCTransform	2010	0
SCTransform	2011	0
SCTransform	2012	0
SCTransform	2013	0
SCTransform	2014	0
SCTransform	2015	0
SCTransform	2016	0
SCTransform	2017	0
SCTransform	2018	0
SCTransform	2019	9
SCTransform	2020	126
SCTransform	2021	353
SCTransform	2022	634
SCTransform	2023	959
SCTransform	2024	1319
SCTransform	2025	1591
Seurat	2000	0
Seurat	2001	0
Seurat	2002	0
Seurat	2003	1
Seurat	2004	0
Seurat	2005	2
Seurat	2006	0
Seurat	2007	1
Seurat	2008	0
Seurat	2009	0
Seurat	2010	3
Seurat	2011	3
Seurat	2012	8
